Title,Content,Published At,Source,URL,Category
25 БПЛА за ночь сбили средства ПВО в российских регионах.,"25 БПЛА за ночь сбили средства ПВО в российских регионах.

По данным Минобороны, 12 БПЛА сбиты над Брянской областью, девять — над Смоленской, два над Курской и по одному в Ростовской и Воронежской областях. В Брянске в результате падения беспилотника частично повреждена крыша административного здания. В Тамбовской же области (ее в сводке Минобороны нет) БПЛА ударил по нефтебазе в Мичуринском райне.

Военное ведомство также сообщило, что министр обороны Белоусов поручил Генштабу ВС РФ принять меры из-за полетов американских стратегических беспилотников над акваторией Черного моря, которые занимаются разведкой и указывают цели для высокоточного оружия, которое использует ВСУ. Ранее Z-каналы писали о сбитии беспилотника Global Hawk в Черном море, но никаких доказательств этого не было. При этом два дня назад (уже после этих публикаций) Министр обороны США Ллойд Остин впервые провел разговор с Белоусовым. Они обсудили конфликт в Украине и важность сохранения ""каналов коммуникации"".",2024-06-28T05:16:33+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27291,
No Title,,2024-06-28T03:25:07+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27290,
"«Нам пи***ц»: члены Демократической партии США, ее сторонники и либеральные журналисты бьют тревогу после выступления Байдена на дебатах","«Нам пи***ц»: члены Демократической партии США, ее сторонники и либеральные журналисты бьют тревогу после выступления Байдена на дебатах

«Байден выглядит и звучит ужасно. Он бессвязный», — заявил CNN представитель Демпартии США, который какое-то время работал в администрации Байдена. Другой представитель партии, который работал над выборами на протяжении всего цикла, заявил журналистам: «Нам пи**ец». Членов партии беспокоит физическое состояние Байдена, его неуверенный голос и «зависания», которые невозможно игнорировать. Байден должен был показать, что слова республиканцев о его плохом ментальном и физическом состоянии не соответствуют действительности, но лишь подтвердил эти опасения. 

«Это хороший человек. Он любит свою страну. Он делает все, что может. Но сегодня ему предстояло пройти испытание, чтобы восстановить доверие страны. И он не смог этого сделать», — отметил политический обозреватель CNN Ван Джонс, который ранее был специальным советником Барака Обамы.

На этом фоне американские либеральные СМИ и члены партии говорят о возможном экстренном решении — сменить кандидатуру Байдена на другого политика пока на это есть время. «Я думаю, что многие люди захотят, чтобы Байден подумал о выборе другого курса. Есть еще время до съезда партии, есть время найти другой путь, если нам позволят это сделать», — сказал Джонс. В эфире CNN также пришли к выводу, что подобное выступление президента приведет к панике внутри партии. Эти настроения подтвердила и журналист NBC News Хэлли Джэксон — член Конгресса США от Демпартии во время дебатов высказал при ней мысль, что на съезде партии Байдена нужно будет заменить на другого кандидата. На этом фоне штаб Трампа уже заявил об исторической победе на дебатах.",2024-06-28T03:25:07+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27289,
В Тамбовской области БПЛА атаковал нефтебазу. ,"В Тамбовской области БПЛА атаковал нефтебазу. 

Беспилотник ударил по базе в Мичуринском районе. Пожар в данный момент локализован. Власти сообщили, что жертв нет. 

""До ближайшего населенного пункта - 3 км. В случае необходимости будет проведена эвакуация жителей. Для этого все готово"", — сообщил глава региона Максим Егоров.",2024-06-28T03:04:19+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27288,
“Он довел нас до очень плохой позиции с Россией и Украиной. Потому что Украина не побеждает в этой войне”,"“Он довел нас до очень плохой позиции с Россией и Украиной. Потому что Украина не побеждает в этой войне”

Дебаты окончены. В конце кандидаты в очередной раз обменялись взаимными оскорблениями. 

Трамп в последнем слове говорил о своих достижениях во время последнего президентского срока — «Мы восстановили армию, мы организовали самое большое снижение налогов в истории, самое большое сокращение регулирования в истории». Байдена он назвал «жалобщиком» и сказал, что тот «ничего не делает». Он раскритиковал политику Байдена на границе, его подход к выводу войск из Афганистана, ситуацию в Украине и другие аспекты внешней политики. «Вас не уважают во всем мире», — сказал он Байдену.

Байден же заявил, что сомневается, что Трамп примет результаты выборов 2024 года, если проиграет, назвав конкурента «нытиком». «Ты не можешь вынести поражения. Что-то сломалось в тебе когда ты проиграл в последний раз», — отметил он. В своем заключительном заявлении Байден сказал, что его предшественник оставил разгромленную страну, а сам пообещал снизить инфляцию и решить другие проблемы.",2024-06-28T02:53:28+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27287,
"После этого бывший и действующий президент США почти минуту спорили, кто из них лучше играет в гольф (да).","После этого бывший и действующий президент США почти минуту спорили, кто из них лучше играет в гольф (да).

Сперва Байден намекнул на лишний вес Трампа, потом стал хвастаться своими достижениями в гольфе и предложил сыграть против Трампа, если тот сам сможет носить клюшки. 

Этот странный обмен мнениями закончился на том, что Трамп сказал: «Давайте не будем вести себя по-детски».",2024-06-28T02:37:38+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27286,
"«Я прошел два когнитивных теста. Я сдал их на отлично, вы знаете про это, мы опубликовали их. Он не сдавал, пусть попробует хотя бы один, он не сможет ответить на первые 5 вопросов. Я сдавал медицинские экзамены каждый год. Я в очень хорошей форме. Я только что выиграл два клубных чемпионата по гольфу. Он не может этого сделать, он не может отбить мяч на 50 ярдов»","«Я прошел два когнитивных теста. Я сдал их на отлично, вы знаете про это, мы опубликовали их. Он не сдавал, пусть попробует хотя бы один, он не сможет ответить на первые 5 вопросов. Я сдавал медицинские экзамены каждый год. Я в очень хорошей форме. Я только что выиграл два клубных чемпионата по гольфу. Он не может этого сделать, он не может отбить мяч на 50 ярдов»

Трамп объясняет, почему он в хорошей форме (в конце второго срока ему будет 82 года) — он хорошо играет в гольф и сдает тесты (физические и когнитивные) на отлично.",2024-06-28T02:30:49+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27285,
«Я хочу абсолютно безупречную чистую воду. И я хочу абсолютно чистый воздух. И он у нас был! У нас была H2O. У нас были самые лучшие показатели!»,"«Я хочу абсолютно безупречную чистую воду. И я хочу абсолютно чистый воздух. И он у нас был! У нас была H2O. У нас были самые лучшие показатели!»

Трамп, отвечая на вопрос о защите климата, заявил, что хочет «абсолютно чистой воды», но не смог назвать никаких конкретных мер.

После этого он заявил, что при его администрации была лучшая экологическая ситуация в стране (об этом говорят цифры, которые ему передали перед выступлением). 

В реальности среди соратников Трампа много климатических скептиков, которые утверждают, что защита климата — левая пропаганда, направленная на ограничение бизнеса. Они выступают за закрытие Агентства по охране окружающей среды США. Во время своего первого срока Трамп отменил более 100 экологических мер, введённых администрацией Обамы. 

Байден в ответ заявил: «Я не знаю, где, чёрт возьми, он был. Он утверждает, что сделал что-то, чтобы иметь самую чистую воду? Самую чистую воду?! Ему было наплевать на окружающую среду».",2024-06-28T02:13:34+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27284,
Атмосфера на американских президентских дебатах:,"Атмосфера на американских президентских дебатах:

Байден: «Ты занимался сексом с порнозвездой, пока твоя жена была беременна»

Трамп: «У меня не было секса с порнозвездой. Это раз»",2024-06-28T01:55:56+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27283,
"«Путин — военный преступник. Он убил тысячи и тысячи людей. Он хочет восстановить часть СССР, он хочет не кусок Украины, а всю Украину. Думаете, он остановится на этом, если захватит Украину? Что будет с Беларусью, с Польшей, со странами НАТО?»","«Путин — военный преступник. Он убил тысячи и тысячи людей. Он хочет восстановить часть СССР, он хочет не кусок Украины, а всю Украину. Думаете, он остановится на этом, если захватит Украину? Что будет с Беларусью, с Польшей, со странами НАТО?»

Байден и Трамп спорят о ситуации в Украине.

Трамп говорит, что боевые действия никогда бы не начались, если бы он был в офисе. «Что касается России и Украины, если бы у нас был настоящий президент, президент, которого уважал Путин, то он бы никогда не вторгся в Украину», — заявил Трамп. «На самом деле я думаю, что он [Байден] подтолкнул Россию к вторжению», — добавляет он. Трамп утверждает, что он «урегулирует войну» ещё до того, как «вступит в должность».

Байден комментирует его заявления: «Я никогда в жизни не слышал столько чуши». Президент США назвал главу РФ «военным преступником» и заявил, что Путин хочет восстановить СССР. Байден настаивает, что если не остановить РФ сейчас, нападению подвергнутся другие страны Европы. Он говорит, что Украина сейчас получает оружие, которое производят в США, а не деньги. При этом он настаивает, что страны Европы вкладываются на уровне США. Трамп же критикует НАТО и тот факт, что США вынуждены тратить намного больше денег, чем партнёры страны.",2024-06-28T01:47:43+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27282,
"«Я действительно не знаю, что он сказал в конце этого предложения. И я не думаю, что он тоже знает, что сказал».","«Я действительно не знаю, что он сказал в конце этого предложения. И я не думаю, что он тоже знает, что сказал».

Кандидаты спорят о массовой миграции, Трамп между делом намекает на ментальное состояние Байдена.

Последние опросы показывают, что иммиграция является ключевым вопросом для американских избирателей. Трамп говорит о масштабном кризисе, когда демократические штаты селят мигрантов в отелях, пока на улицах остаются ветераны. Он обещает покончить с этой проблемой. Байден утверждает, что исправляет ситуацию, и обвиняет Трампа, что при нём у мигрантов отнимали детей, помещая их в специальные лагеря.

«Мы оказались в ситуации. Когда он был президентом, он забирал, отделял младенцев от их матерей, помещал их в клетки, следя за тем, чтобы семьи были разделены. Это неправильный путь», — сказал Байден.",2024-06-28T01:33:07+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27281,
Дебаты начались с обсуждения экономики.,"Дебаты начались с обсуждения экономики.

При этом Байден уже запнулся, когда пытался ответить на вопрос.

Джо Байден заявил, что экономика находится на подъёме и вряд ли когда-либо дела шли лучше, хотя и есть над чем работать. По мнению Трампа, «экономика терпит крах» и находится в полном беспорядке. Он также отметил, что оставил Байдену идеальную ситуацию, когда уходил, но демократы разрушили все эти достижения. 

Кандидаты описывают две разные реальности: Трамп говорит, что Байден превратил США в страну третьего мира, преследует политических оппонентов и пускает в страну миллионы мигрантов. Байден утверждает, что ситуация обстоит ровно наоборот, и обвиняет Трампа в проблемах страны.",2024-06-28T01:17:09+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27280,
В США стартовали первые предвыборные дебаты Байдена и Трампа. Что об этом известно? ,"В США стартовали первые предвыборные дебаты Байдена и Трампа. Что об этом известно? 

— В студию, где проходят дебаты, допущены только телеоператоры CNN и фотографы. Зрителей на дебаты впервые не пригласили. Более того, в студии даже нет журналистов из пула Белого дома. 

— 90-минутные дебаты включают две рекламные паузы. Сотрудники кампании не могут взаимодействовать со своим кандидатом в течение этого времени.

— Оба кандидата согласились выступить на единой трибуне, их позиции на подиуме определены подбрасыванием монеты. Монета упала на решку — кампании Байдена, он будет находиться по правую сторону экранов зрителей, а Трамп — по левую.

— Микрофоны будут отключены на протяжении всех дебатов, исключение — микрофон кандидата, чья очередь выступать. В прошлые годы у кандидатов была возможность прерывать друг друга, что превращало дебаты в спор и обмен взаимными оскорблениями. На сцене не разрешён реквизит или заранее написанные заметки, но каждому кандидату выдадут ручку, блокнот и бутылку воды.

— Вторые дебаты запланированы на сентябрь. Трамп настаивает и на третьих, а штаб Байдена выступает против. 

— Главная цель команды Байдена сегодня — опровергнуть убеждение части американцев в том, что президент в плохом физическом и умственном состоянии. В последние месяцы на YouTube, в TikTok и на других платформах активно распространялись ролики, где Байден «зависает» или ведёт себя так, будто не понимает, где находится. На этом фоне Дональд Трамп стремился представить Байдена дряхлым человеком, физически и морально неподходящим на должность главы государства. 

— Для Трампа дебаты важны: он хочет убедить умеренных консерваторов и сомневающихся избирателей. Команда Байдена утверждает, что он слишком опасен для страны, принимает спонтанные решения и планирует сотрудничать с авторитарными режимами.",2024-06-28T01:07:09+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27279,
МЧС заявило о резком росте числа утонувших детей.,"МЧС заявило о резком росте числа утонувших детей.

В пресс-службе ведомства заявляют, что в период с 12 по 26 июня утонули 86 детей. Это больше, чем за последние пять с половиной месяцев (80). «И эта статистика сохраняется, за сегодня мы уже потеряли 7 детей»,— отмечает руководитель пресс-службы МЧС Роман Охотенко.

Кроме того, в ведомстве заявляют о сильном скачке детской смертности на воде по сравнению с прошлым годом. В 2023-ем году за аналогичный период утонули 58 детей (а в сумме 334 человека). В этом году включая взрослых за последние две недели утонули 427 человека, а с начала года по 12 июня — 827 человек.

По данным министерства, чаще дети тонут, когда остаются без присмотра родителей, а также убегая из дома и купаясь в необорудованных местах. К примеру, 27 июня в Ставропольском крае в реке Расшеватка без присмотра взрослых утонули два ребенка — одному было почти два года, другому шесть. Еще один ребенок (ему 3 года 9 месяцев) находится в реанимации на ИВЛ.",2024-06-27T21:36:35+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27278,
Японские учёные создали робота с лицом из клеток человеческой кожи — он умеет улыбаться. ,"Японские учёные создали робота с лицом из клеток человеческой кожи — он умеет улыбаться. 

Исследователи из Токийского университета показали лицо робота, покрытое тонким слоем кожи, выращенной из человеческих клеток и коллагена в лаборатории. Искусственную кожную ткань прикрепили к модели лица с помощью 3D-принтера и небольших отверстий-перфораций. Во время тестов кожа показала способность восстанавливаться при повреждениях подобно человеческой, а также двигаться в такт механическим компонентам робота. Учёные буквально научили робота улыбаться. При улыбке даже образуются мимические морщины.

По мнению авторов проекта, их открытие можно использовать в косметологии для тестирования новой косметики. Помимо этого, живая кожа будет полезна роботам, которые работают в обслуживании и здравоохранении и тесно взаимодействуют с людьми. На создание рабочего макета, который можно пустить в производство, могут уйти многие годы. Но учёные уверены, что при таком же темпе исследований их технология может распространиться в течение следующих 10 лет.",2024-06-27T15:42:00+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27277,
Забирайте КЭШБЭК 30% на авиабилеты в Турцию. Только в эту Альфа-Пятницу — 28 июня 🛫,"Забирайте КЭШБЭК 30% на авиабилеты в Турцию. Только в эту Альфа-Пятницу — 28 июня 🛫

Новая неделя — новое направление.

В этот раз дарим кэшбэк на авиабилеты в Турцию. Только 28 июня и только в Альфа-Тревел — на сайте или в нашем приложении.

Отправляйтесь в путешествие до конца лета, а мы вернём до 5000 рублей 🤑

Как купить билеты в приложении: Главный экран >> Тревел >> Раздел Авиабилеты.

Редактор канала: постучись в мою дверь, кэшбэк 🚪

@alfabank",2024-06-27T14:54:28+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27276,
«Александр Иванович Бастрыкин ни в коем случае не хотел оскорблять народных избранников»,"«Александр Иванович Бастрыкин ни в коем случае не хотел оскорблять народных избранников»

СК выпустил официальное заявление, прокомментировав высказывание Бастрыкина, который сегодня назвал Госдуму «государственной дурой». После этого часть депутатов, включая спикера Госдумы Володина, призвали его извиниться. 
 
«Александр Иванович Бастрыкин ни в коем случае не хотел оскорблять народных избранников, а лишь стремился привлечь внимание Государственной Думы к необходимости законодательных изменений в сфере миграции. Для этого Председатель Следственного комитета России процитировал один из многочисленных комментариев в социальных сетях. Вместо того, чтобы обратить внимание на проблему с миграцией, ее контроль, регулирование, необходимость изменения законодательства, обсуждается только одна фраза, и то вырванная из контекста» —  заявила официальный представитель СК России Светлана Петренко.",2024-06-27T14:09:25+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27275,
"Медведев заявил, что «урегулирование украинского кризиса невозможно без снятия всех санкций против России»","Медведев заявил, что «урегулирование украинского кризиса невозможно без снятия всех санкций против России»

По словам зампредседателя Совета Безопасности, если санкции против РФ останутся, то и ситуация в Украине будет продолжаться. Он также заявил, что России нужно подсчитать весь реальный ущерб российской экономике, гражданам и компаниям. В дальнейшем на основании этого будут предъявлены требования компенсаций. Для этого нужно создать реестр нанесенного РФ экономического ущерба.

«Главная цель этого санкционного шторма – нанести максимальный ущерб как можно большему числу людей из ненавистных для них стран. И, кстати, не только им, но и даже своим союзникам. Ведь санкции против России, это все понимают, это хитрая и хорошо продуманная игра Вашингтона против интересов Европы. И это начали понимать наконец и в Евросоюзе, особенно обычные граждане. Международное право должно быть непримиримо к подобным проявлениям», — отметил он, выступая на ПМЮФ.",2024-06-27T13:52:54+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27274,
Министр окружающей среды Мальдив арестована по подозрению в использовании “черной магии” против президента. ,"Министр окружающей среды Мальдив арестована по подозрению в использовании “черной магии” против президента. 

Фатимат Шамназ Али Салим взяли под стражу в Мали вместе с младшим братом и предполагаемым колдуном. Ее обвиняют в том, что она применила “черную магию” против президента Мохамеда Муиззу. Полиция не предоставила конкретных деталей, что за ритуал провела Фатимат. Она будет неделю содержаться под стражей в ожидании расследования. 

Колдовство не считается уголовным преступлениям на Мальдивах, но по исламским законам может повлечь заключение до шести месяцев. Ритуальные церемонии широко практикуются на архипелаге, и как считается, приносят удачу или вред врагам. Так, весной прошлого года 62-летнюю местную жительницу убили соседи после обвинения в черной магии. А в 2012 году силовики жестко разогнали митинг оппозиции, обвинив организаторов в том, что они бросили в офицеров “проклятого петуха”.",2024-06-27T13:27:14+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27273,
